Titles,Runtime,User Rating,Metascore,Votes,Gross,Genre
Daddy's Home,96,6.2,42,114030,150.36,Comedy
Neighbors,97,6.3,68,298382,150.16,Comedy
American Hustle,138,7.2,90,463327,150.12,Crime
Puss in Boots,90,6.6,65,151069,149.26,Animation
Sonic the Hedgehog,99,6.5,47,107187,148.97,Action
Les Misérables,158,7.6,63,318755,148.81,Drama
Knocked Up,129,6.9,85,359612,148.73,Comedy
Megamind,95,7.3,63,242105,148.42,Animation
Little Fockers,98,5.5,27,109871,148.38,Comedy
Hotel Transylvania,91,7.1,47,237878,148.31,Animation
Talladega Nights: The Ballad of Ricky Bobby,108,6.6,66,175639,148.21,Comedy
Gran Torino,116,8.1,72,744458,148.10,Drama
War for the Planet of the Apes,140,7.4,82,240415,146.88,Action
X: First Class,131,7.7,65,664750,146.41,Action
Lilo & Stitch,92,7.3,73,178085,145.79,Animation
American Pie 2,108,6.4,43,247611,145.10,Comedy
Taken,90,7.8,51,582160,145.00,Action
The Great Gatsby,143,7.2,55,505988,144.84,Drama
"I, Robot",115,7.1,59,516729,144.80,Action
The Fast and the Furious,106,6.8,58,369126,144.53,Action
Mamma Mia!,108,6.4,51,228629,144.13,Comedy
Pokémon Detective Pikachu,104,6.6,53,150755,144.11,Action
Rio,96,6.9,63,216211,143.62,Animation
Kung Fu Panda 3,95,7.1,66,145151,143.53,Animation
Juno,96,7.4,81,504244,143.50,Comedy
Marley & Me,115,7.1,53,152326,143.15,Comedy
The Meg,113,5.6,46,161172,143.01,Action
The Smurfs,103,5.4,30,87196,142.61,Animation
Once Upon a Time... In Hollywood,161,7.6,83,645676,142.50,Comedy
xXx,124,5.9,48,176744,142.11,Action
The Chronicles of Narnia: Prince Caspian,150,6.5,62,201982,141.62,Action
Slumdog Millionaire,120,8.0,84,819764,141.32,Drama
Shazam!,132,7.0,71,297646,140.37,Action
Ocean's Eight,110,6.3,61,202545,140.22,Action
Rush Hour 3,91,6.2,44,160258,140.13,Action
Taken 2,92,6.3,45,298124,139.85,Action
The Matrix Revolutions,129,6.8,47,471193,139.31,Action
The Santa Clause 2,104,5.7,48,53205,139.24,Comedy
The King's Speech,118,8.0,88,658067,138.80,Biography
Cheaper by the Dozen,98,5.9,46,98496,138.61,Comedy
Bad Boys II,147,6.6,38,240666,138.61,Action
21 Jump Street,109,7.2,69,529085,138.45,Action
Split,117,7.3,62,458081,138.29,Horror
A Christmas Carol,96,6.8,55,107483,137.86,Animation
Dinosaur,82,6.5,56,57070,137.75,Animation
Ready Player One,140,7.4,64,400118,137.69,Action
The Conjuring,112,7.5,68,475859,137.40,Horror
Click,107,6.4,45,317335,137.36,Comedy
Argo,120,7.7,86,592147,136.03,Biography
Anger Management,106,6.2,52,209412,135.65,Comedy
Chicken Little,81,5.7,48,89263,135.39,Animation
Ride Along,99,6.2,41,108728,134.94,Action
Live Free or Die Hard,128,7.1,69,397310,134.53,Action
The Incredible Hulk,112,6.6,61,457994,134.52,Action
Wanted,110,6.7,64,375193,134.51,Action
Identity Thief,111,5.7,35,129350,134.51,Comedy
Mission: Impossible III,126,6.9,66,341884,134.03,Action
Grown Ups 2,101,5.4,19,147006,133.67,Comedy
Troy,163,7.3,56,508556,133.38,Drama
Angels & Demons,138,6.7,48,283349,133.38,Action
Alvin and the Chipmunks: Chipwrecked,87,4.3,24,33536,133.11,Animation
Bringing Down the House,105,5.6,39,35858,132.72,Comedy
The Wolverine,126,6.7,61,445088,132.56,Action
Wonder,113,8.0,66,153761,132.42,Drama
The Departed,151,8.5,85,1246270,132.38,Crime
Hulk,138,5.6,54,259684,132.18,Action
Silver Linings Playbook,122,7.7,81,682686,132.09,Comedy
Minority Report,145,7.6,80,528238,132.07,Action
Fantastic Four: Rise of the Silver Surfer,92,5.6,45,257401,131.92,Action
The Last Airbender,103,4.0,20,158738,131.56,Action
Rio 2,101,6.3,49,85277,131.54,Animation
Lara Croft: Tomb Raider,100,5.8,33,204440,131.14,Action
Get Smart,110,6.5,54,210873,130.32,Action
The Divergent Series: Insurgent,119,6.2,42,227103,130.18,Action
The Peanuts Movie,88,7.1,67,44184,130.18,Animation
Transformers: The Last Knight,154,5.2,27,142993,130.17,Action
American Gangster,157,7.8,76,407770,130.16,Biography
The Ring,115,7.1,57,334304,129.13,Horror
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,7.3,89,391937,128.51,Comedy
Ghostbusters: Answer the Call,117,6.5,60,213865,128.34,Action
Kingsman: The Secret Service,129,7.7,60,619455,128.26,Action
Robots,91,6.3,64,139329,128.20,Animation
"Crouching Tiger, Hidden Dragon",120,7.8,94,261389,128.08,Action
Shutter Island,138,8.2,63,1203325,128.01,Mystery
Into the Woods,125,5.9,69,136955,128.00,Adventure
Enchanted,107,7.0,75,188336,127.81,Animation
The Curious Case of Benjamin Button,166,7.8,70,616598,127.51,Drama
Central Intelligence,107,6.3,52,170656,127.44,Action
Anchorman 2: The Legend Continues,119,6.3,61,174729,127.35,Comedy
Sweet Home Alabama,108,6.2,45,107677,127.22,Comedy
Bumblebee,114,6.7,66,151832,127.20,Action
2 Fast 2 Furious,107,5.9,38,263797,127.15,Action
Super 8,112,7.0,72,346461,127.00,Mystery
Lucy,89,6.4,61,468944,126.66,Action
The Legend of Tarzan,110,6.2,44,170394,126.64,Action
Bee Movie,91,6.1,54,151652,126.63,Animation
Prometheus,124,7.0,64,586191,126.48,Adventure
Safe House,115,6.7,52,215918,126.37,Action
Mr. Deeds,96,5.8,24,140363,126.29,Comedy
Erin Brockovich,131,7.4,73,187068,125.60,Biography
Ocean's Twelve,125,6.5,58,373920,125.54,Crime
Terminator Salvation,115,6.5,49,351819,125.32,Action
Charlie's Angels,98,5.6,52,182557,125.31,Action
Lone Survivor,121,7.5,60,276461,125.10,Action
Sully,96,7.4,74,254771,125.07,Biography
The Vow,104,6.8,43,189127,125.01,Drama
Life of Pi,127,7.9,79,602012,124.99,Adventure
The Fault in Our Stars,126,7.7,69,358533,124.87,Drama
Cloudy with a Chance of Meatballs,90,6.9,66,217200,124.87,Animation
The Devil Wears Prada,109,6.9,62,391991,124.74,Comedy
Something's Gotta Give,128,6.7,66,116835,124.73,Comedy
Traffic,147,7.6,86,202246,124.12,Crime
Rango,107,7.2,75,249777,123.48,Animation
Nutty Professor II: The Klumps,106,4.4,38,49991,123.31,Comedy
The Good Dinosaur,93,6.7,66,108559,123.09,Animation
G.I. Joe: Retaliation,110,5.8,41,178101,122.52,Action
The Bourne Identity,119,7.9,68,525343,121.66,Action
Superbad,113,7.6,76,545165,121.46,Comedy
50 First Dates,99,6.8,48,339992,120.91,Comedy
Mamma Mia! Here We Go Again,114,6.6,60,87536,120.63,Comedy
Inglourious Basterds,153,8.3,69,1340303,120.54,Adventure
Janatha Garage,162,7.3,NaN,6544,120.50,Action
Seabiscuit,140,7.3,72,70675,120.28,Drama
Van Helsing,131,6.1,35,255200,120.18,Action
Four Christmases,88,5.7,41,67870,120.15,Comedy
I Now Pronounce You Chuck & Larry,115,5.9,37,144242,120.06,Comedy
Cloudy with a Chance of Meatballs 2,95,6.4,59,96533,119.79,Animation
Walk the Line,136,7.8,72,242252,119.52,Biography
G-Force,88,5.1,41,44801,119.44,Animation
The Other Guys,107,6.7,64,253704,119.22,Action
Fahrenheit 9/11,122,7.5,67,128305,119.19,Documentary
The Sum of All Fears,124,6.4,45,111212,118.91,Action
Hairspray,117,6.7,81,124603,118.87,Comedy
The Break-Up,106,5.8,45,129304,118.70,Comedy
A Series of Unfortunate Events,108,6.8,62,202343,118.63,Adventure
Blades of Glory,93,6.3,64,163422,118.59,Comedy
Salt,100,6.4,65,304990,118.31,Action
Now You See Me,115,7.2,50,623196,117.72,Crime
Ford v Ferrari,152,8.1,81,339243,117.62,Action
Big Momma's House,99,5.2,33,83442,117.56,Action
Horrible Bosses,98,6.8,57,433588,117.54,Comedy
The Nun,96,5.3,46,130889,117.45,Horror
Jackass 3D,94,7.0,56,59798,117.22,Documentary
Ocean's Thirteen,122,6.9,62,333266,117.15,Crime
S.W.A.T.,117,6.0,45,143224,116.93,Action
The Wolf of Wall Street,180,8.2,75,1274425,116.90,Biography
8 Mile,110,7.1,77,266530,116.72,Drama
The Butler,132,7.2,65,112078,116.63,Biography
Green Lantern,114,5.5,39,276337,116.60,Action
Ghost Rider,110,5.3,35,230374,115.80,Action
Creed II,130,7.1,66,115155,115.72,Drama
Remember the Titans,113,7.8,48,205652,115.65,Biography
District 9,112,7.9,81,657026,115.65,Action
Unbroken,137,7.2,59,158315,115.64,Action
Peter Rabbit,95,6.6,51,39912,115.25,Animation
Girls Trip,122,6.2,71,36281,115.17,Adventure
Dumbo,112,6.3,51,71121,114.77,Adventure
Fifty Shades Darker,118,4.6,33,96884,114.38,Drama
Dodgeball: A True Underdog Story,92,6.7,55,238423,114.33,Comedy
The Village,108,6.5,44,252019,114.20,Drama
Bolt,96,6.8,67,199453,114.05,Animation
Maleficent: Mistress of Evil,119,6.6,43,95176,113.93,Adventure
Night at the Museum: Secret of the Tomb,98,6.2,47,114133,113.75,Adventure
Magic Mike,110,6.1,72,135001,113.72,Comedy
The Patriot,165,7.2,63,263494,113.33,Action
Bad Moms,100,6.2,60,119484,113.26,Comedy
The Bourne Legacy,135,6.6,61,292911,113.20,Action
The Pacifier,95,5.6,30,91419,113.09,Action
Dr. Dolittle 2,87,4.7,49,44358,112.95,Comedy
It's Complicated,120,6.5,57,89534,112.74,Comedy
Spy Kids,88,5.5,71,113035,112.72,Action
The Hangover Part III,100,5.8,30,303291,112.20,Comedy
Spy Kids 3-D: Game Over,84,4.3,57,57846,111.76,Action
Mr. Peabody & Sherman,92,6.8,59,66324,111.51,Animation
The Last Samurai,154,7.7,55,417137,111.11,Action
Glass,129,6.6,43,225479,111.05,Drama
Spy,120,7.0,75,237845,110.83,Action
Tropic Thunder,107,7.0,71,395823,110.52,Action
Godzilla: King of the Monsters,132,6.0,48,167914,110.50,Action
Valentine's Day,125,5.7,34,116931,110.49,Comedy
The Grudge,91,5.9,49,142082,110.36,Horror
